id,timestamp,media_type,media_product_type,permalink,like_count,comments_count,reach,saved,shares,total_interactions,insights_error
17986124495752035,2024-11-04T20:28:22+0000,IMAGE,FEED,https://www.instagram.com/p/DB9n5O8xdVe/,32,0,375,1,0,33,
18331946032147931,2024-11-04T02:08:06+0000,IMAGE,FEED,https://www.instagram.com/p/DB7p-pUxdpA/,22,0,480,1,0,23,
18074542231605512,2024-10-30T13:03:21+0000,IMAGE,FEED,https://www.instagram.com/p/DBv8_cmxeMR/,110,1,724,0,1,112,
18246680935279734,2024-10-10T00:46:35+0000,IMAGE,FEED,https://www.instagram.com/p/DA7IxtxMtP9/,30,0,564,0,0,30,
18130651528369766,2024-09-28T11:03:48+0000,IMAGE,FEED,https://www.instagram.com/p/DAdV36Wxd-1/,23,0,355,0,0,23,
18066041773621267,2024-09-20T10:34:22+0000,IMAGE,FEED,https://www.instagram.com/p/DAIsJWMRMgZ/,25,0,323,1,0,26,
18368657701103840,2024-08-26T11:33:32+0000,IMAGE,FEED,https://www.instagram.com/p/C_IbCt9RTr3/,39,1,359,0,0,40,
18057051424731989,2024-08-16T02:27:57+0000,IMAGE,FEED,https://www.instagram.com/p/C-tsqFsMNzZ/,22,0,347,0,0,22,
17906702487006284,2024-08-15T00:07:28+0000,IMAGE,FEED,https://www.instagram.com/p/C-q3yTYs2S4/,22,2,377,0,0,24,
18000562673438606,2024-07-12T19:51:19+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/C9VcPVgv6ox/,52,2,506,0,1,55,
18029221805169872,2024-07-11T14:00:20+0000,IMAGE,FEED,https://www.instagram.com/p/C9SPRxGAOlk/,40,0,407,0,0,40,
17853392634226209,2024-07-03T22:56:02+0000,IMAGE,FEED,https://www.instagram.com/p/C8-mOUoMIJo/,22,0,460,0,0,22,
18000018065428271,2024-07-02T15:22:55+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/C87NktwsKjm/,22,0,278,0,0,22,
18402807514073247,2024-06-25T18:10:25+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/C8pfLXqRBJa/,77,6,533,0,2,85,
17951693555803086,2024-06-24T21:21:46+0000,VIDEO,REELS,https://www.instagram.com/reel/C8nP7gLvuYB/,174,18,847,2,0,194,
18073276627505305,2024-06-07T14:55:04+0000,IMAGE,FEED,https://www.instagram.com/p/C76yg2qRwbN/,16,2,379,1,1,20,
18324806143121941,2024-06-07T12:50:54+0000,IMAGE,FEED,https://www.instagram.com/p/C76kTbcRxba/,25,1,403,1,1,28,
18030548300044509,2024-06-07T00:34:36+0000,CAROUSEL_ALBUM,FEED,https://www.instagram.com/p/C75QCpdxQoh/,47,1,356,1,0,49,
18036447043929206,2024-06-05T01:26:34+0000,IMAGE,FEED,https://www.instagram.com/p/C70MZb2RssU/,19,0,278,1,0,20,
18137241856334001,2024-06-02T21:09:06+0000,IMAGE,FEED,https://www.instagram.com/p/C7ulWBux3a5/,113,4,657,0,1,118,
18022472048168210,2024-05-20T16:09:52+0000,IMAGE,FEED,https://www.instagram.com/p/C7Mkw61r_RR/,29,1,425,1,0,31,
